"","X","gotuheiti","postnr","tegund","verd","herbergi","size","nyskrad","fermverd","date"
"2075",20,"Skipasund",104,"Einbýli",69900000,6,170.7,"2016-10-24",409490,"2016-10-01"
"2076",21,"Grandavegur",107,"Fjölbýli",59000000,4,126.7,"2016-10-24",465667,"2016-10-01"
"2077",22,"Grandavegur",107,"Fjölbýli",54900000,4,121.7,"2016-10-24",451109,"2016-10-01"
"2078",23,"Vatnsstígur",101,"Fjölbýli",47900000,2,97.9,"2016-10-24",489275,"2016-10-01"
"2079",24,"Búhamar1",900,"Einbýli",29000000,6,172,"2016-10-24",168605,"2016-10-01"
"2080",25,"Rjúpnasalir",201,"Fjölbýli",43900000,4,112.7,"2016-10-24",389530,"2016-10-01"
"2081",1,"Goðheimar *opið Hús*",104,"Hæðir",51900000,5,157.9,"2016-10-25",328689,"2016-10-01"
"2082",2,"Lundur",200,"Fjölbýli",54800000,3,139.2,"2016-10-25",393678,"2016-10-01"
"2083",3,"Fossheiði",800,"Fjölbýli",16900000,2,64.1,"2016-10-25",263651,"2016-10-01"
"2084",5,"Seljudalur",260,"Par/Raðhús",17500000,4,120,"2016-10-25",145833,"2016-10-01"
"2085",6,"Erluás",221,"Par/Raðhús",62500000,6,192.7,"2016-10-25",324338,"2016-10-01"
"2086",7,"Hringbraut",101,"Hæðir",23900000,3,56.8,"2016-10-25",420775,"2016-10-01"
"2087",8,"Brekkugata",190,"Einbýli",16900000,3,73.7,"2016-10-25",229308,"2016-10-01"
"2088",9,"Bjarmastígur",600,"Einbýli",45000000,9,296.6,"2016-10-25",151719,"2016-10-01"
"2089",10,"Rauðamýri",270,"Fjölbýli",36500000,3,97.6,"2016-10-25",373975,"2016-10-01"
"2090",11,"Lindarberg",221,"Par/Raðhús",71900000,6,229.7,"2016-10-25",313017,"2016-10-01"
"2091",12,"Hátún",230,"Hæðir",26000000,3,128.7,"2016-10-25",202020,"2016-10-01"
"2092",13,"Vatnsnesvegur",230,"Einbýli",39800000,6,208,"2016-10-25",191346,"2016-10-01"
"2093",14,"Austurkór",203,"Fjölbýli",42900000,4,115.5,"2016-10-25",371429,"2016-10-01"
"2095",16,"Stuðlaberg",221,"Par/Raðhús",49500000,5,151,"2016-10-25",327815,"2016-10-01"
"2097",18,"Langamýri",800,"Par/Raðhús",25700000,3,100.5,"2016-10-25",255721,"2016-10-01"
"2098",19,"Álftarimi",800,"Fjölbýli",17500000,2,61.1,"2016-10-25",286416,"2016-10-01"
"2099",20,"Hólabraut ",230,"Fjölbýli",14900000,2,40.6,"2016-10-25",366995,"2016-10-01"
"2100",22,"Bogatún",850,"Par/Raðhús",22500000,4,136.5,"2016-10-25",164835,"2016-10-01"
"2101",25,"Frakkastígur",101,"Fjölbýli",29900000,2,52.8,"2016-10-25",566288,"2016-10-01"
"2102",1,"Fossvellir",640,"Einbýli",32000000,6,153.3,"2016-10-26",208741,"2016-10-01"
"2103",2,"Valhúsabraut",170,"Fjölbýli",54900000,4,154.4,"2016-10-26",355570,"2016-10-01"
"2104",3,"Dvergaborgir",112,"Fjölbýli",33900000,3,85.7,"2016-10-26",395566,"2016-10-01"
"2109",8,"Skarðsbraut",300,"Fjölbýli",22400000,3,116.2,"2016-10-26",192771,"2016-10-01"
"2110",9,"Akurbraut",260,"Einbýli",36900000,5,174.4,"2016-10-26",211583,"2016-10-01"
"2114",14,"Strandvegur",210,"Fjölbýli",47900000,3,116.7,"2016-10-26",410454,"2016-10-01"
"2115",15,"Njarðargrund",210,"Fjölbýli",27900000,3,62,"2016-10-26",450000,"2016-10-01"
"2116",16,"Austurgata ",220,"Fjölbýli",35900000,3,83.3,"2016-10-26",430972,"2016-10-01"
"2117",17,"Gaukshólar",111,"Fjölbýli",25900000,2,61.2,"2016-10-26",423203,"2016-10-01"
"2118",18,"Eyjaholt",250,"Par/Raðhús",15000000,3,96.8,"2016-10-26",154959,"2016-10-01"
"2119",19,"Einigrund",300,"Fjölbýli",20900000,4,109.2,"2016-10-26",191392,"2016-10-01"
"2120",20,"Vesturgata",300,"Einbýli",20500000,5,129.1,"2016-10-26",158792,"2016-10-01"
"2122",22,"Eskivellir",221,"Fjölbýli",30500000,2,71.4,"2016-10-26",427171,"2016-10-01"
"2123",23,"Tröllakór",203,"Fjölbýli",38900000,3,107.7,"2016-10-26",361188,"2016-10-01"
"2124",24,"Mýrar",450,"Einbýli",19900000,6,262.9,"2016-10-26",75694,"2016-10-01"
"2125",25,"Seilugrandi",107,"Fjölbýli",29900000,2,50.4,"2016-10-26",593254,"2016-10-01"
"2126",1,"Grensásvegur",108,"Fjölbýli",29900000,3,77,"2016-10-27",388312,"2016-10-01"
"2128",3,"Dalaþing",203,"Einbýli",149000000,9,376.2,"2016-10-27",396066,"2016-10-01"
"2129",4,"Laugarbrekka",640,"Einbýli",46000000,9,342.8,"2016-10-27",134189,"2016-10-01"
"2130",5,"Bakkahlíð",603,"Einbýli",43900000,5,163.4,"2016-10-27",268666,"2016-10-01"
"2131",6,"Völvufell",111,"Fjölbýli",28300000,4,109.4,"2016-10-27",258684,"2016-10-01"
"2132",7,"Álfkonuhvarf",203,"Fjölbýli",34900000,3,93.7,"2016-10-27",372465,"2016-10-01"
"2133",8,"Kópavogsbraut",200,"Fjölbýli",27900000,3,88.5,"2016-10-27",315254,"2016-10-01"
"2137",14,"Unufell",111,"Fjölbýli",29900000,4,96.8,"2016-10-27",308884,"2016-10-01"
"2138",16,"Lindarberg",221,"Par/Raðhús",59900000,4,228.6,"2016-10-27",262030,"2016-10-01"
"2144",22,"Víðigrund",300,"Einbýli",41000000,5,173.6,"2016-10-27",236175,"2016-10-01"
"2145",23,"Vesturgil",603,"Einbýli",63900000,4,245.5,"2016-10-27",260285,"2016-10-01"
"2146",24,"Stakkahlíð",105,"Fjölbýli",53500000,3,118.5,"2016-10-27",451477,"2016-10-01"
"2147",25,"Tjarnarlundur",600,"Fjölbýli",19900000,3,83.4,"2016-10-27",238609,"2016-10-01"
"2148",1,"Tjarnarlundur",600,"Fjölbýli",18900000,3,84,"2016-10-28",225000,"2016-10-01"
"2149",2,"Fagrakinn",220,"Hæðir",29500000,3,75,"2016-10-28",393333,"2016-10-01"
"2150",3,"Sogavegur",108,"Par/Raðhús",42900000,4,104.8,"2016-10-28",409351,"2016-10-01"
"2151",5,"Ljósheimar",104,"Fjölbýli",36500000,2,60.5,"2016-10-28",603306,"2016-10-01"
"2152",6,"Lindarhvammur",220,"Fjölbýli",31900000,3,80.5,"2016-10-28",396273,"2016-10-01"
"2153",7,"Efstasund",104,"Fjölbýli",22900000,2,36,"2016-10-28",636111,"2016-10-01"
"2154",8,"Deildarás",110,"Einbýli",84700000,8,268.6,"2016-10-28",315339,"2016-10-01"
"2155",10,"Þórðarsveigur",113,"Fjölbýli",36900000,4,103.2,"2016-10-28",357558,"2016-10-01"
"2156",11,"Asparskógar",300,"Fjölbýli",32488000,3,99.2,"2016-10-28",327500,"2016-10-01"
"2157",12,"Álfkonuhvarf(opið Hús)",203,"Fjölbýli",36900000,3,93.7,"2016-10-28",393810,"2016-10-01"
"2158",13,"Háteigsvegur",105,"Fjölbýli",37500000,4,79.4,"2016-10-28",472292,"2016-10-01"
"2159",14,"Álakvísl",110,"Par/Raðhús",43900000,4,135.3,"2016-10-28",324464,"2016-10-01"
"2161",16,"Víðihvammur ",220,"Fjölbýli",38900000,4,146.1,"2016-10-28",266256,"2016-10-01"
"2163",18,"Þórðarsveigur",113,"Fjölbýli",29400000,2,71.1,"2016-10-28",413502,"2016-10-01"
"2164",19,"Fálkagata",107,"Fjölbýli",45900000,4,111.6,"2016-10-28",411290,"2016-10-01"
"2165",21,"Garðatorg",210,"Fjölbýli",145000000,4,195,"2016-10-28",743590,"2016-10-01"
"2166",22,"Kleppsvegur",105,"Fjölbýli",39800000,5,114.7,"2016-10-28",346992,"2016-10-01"
"2167",23,"Kársnesbraut",200,"Fjölbýli",28900000,3,63.3,"2016-10-28",456556,"2016-10-01"
"2168",24,"Sævangur",220,"Einbýli",77900000,8,269.8,"2016-10-28",288732,"2016-10-01"
"2169",25,"Dalsel",109,"Fjölbýli",31700000,4,83.2,"2016-10-28",381010,"2016-10-01"
"2170",1,"Eikarskógar",300,"Einbýli",46900000,5,193.7,"2016-10-29",242127,"2016-10-01"
"2171",2,"Asparskógar",300,"Fjölbýli",32289600,3,99.2,"2016-10-29",325500,"2016-10-01"
"2172",3,"Álfkonuhvarf ",203,"Fjölbýli",37900000,3,105.5,"2016-10-29",359242,"2016-10-01"
"2174",6,"Kristnibraut",113,"Fjölbýli",36700000,3,95.5,"2016-10-29",384293,"2016-10-01"
"2175",8,"Vallakór - Opið Hús",203,"Fjölbýli",44900000,3,142.8,"2016-10-29",314426,"2016-10-01"
"2176",11,"Lyngás",210,"Fjölbýli",38900000,3,82.1,"2016-10-29",473812,"2016-10-01"
"2177",12,"Lyngás",210,"Fjölbýli",46800000,4,107.4,"2016-10-29",435754,"2016-10-01"
"2178",13,"Eskivellir",221,"Fjölbýli",32900000,3,85.1,"2016-10-29",386604,"2016-10-01"
"2179",14,"Þrándartún",801,"Einbýli",19000000,4,114.6,"2016-10-29",165794,"2016-10-01"
"2180",16,"Þrándarlundur land",801,"Einbýli",59000000,6,417.5,"2016-10-29",141317,"2016-10-01"
"2182",18,"Deildarás",110,"Einbýli",84700000,8,268.6,"2016-10-29",315339,"2016-10-01"
"2183",19,"Stakkholt",105,"Fjölbýli",49900000,3,97,"2016-10-29",514433,"2016-10-01"
"2184",20,"Vesturgata",101,"Fjölbýli",62900000,6,113.9,"2016-10-29",552239,"2016-10-01"
"2185",21,"Vesturgata",101,"Fjölbýli",73900000,8,207.9,"2016-10-29",355459,"2016-10-01"
"2186",1,"Asparskógar",300,"Fjölbýli",32091200,3,99.2,"2016-10-30",323500,"2016-10-01"
"2193",12,"Aratún",210,"Einbýli",59500000,5,210,"2016-10-30",283333,"2016-10-01"
"2194",13,"Langalína",210,"Fjölbýli",36900000,2,83,"2016-10-30",444578,"2016-10-01"
"2195",14,"Hlíðarvegur",580,"Fjölbýli",24500000,2,109.4,"2016-10-30",223949,"2016-10-01"
"2196",15,"Básbryggja",110,"Fjölbýli",39900000,3,109.1,"2016-10-30",365720,"2016-10-01"
"2197",16,"Garðatorg",210,"Fjölbýli",65500000,3,106.8,"2016-10-30",613296,"2016-10-01"
"2198",17,"Jörfagrund",116,"Par/Raðhús",46900000,4,176.4,"2016-10-30",265873,"2016-10-01"
"2199",18,"Garðatorg",210,"Fjölbýli",67900000,4,143.3,"2016-10-30",473831,"2016-10-01"
"2200",19,"Gullsmári (opið hús)",201,"Fjölbýli",54600000,6,143.9,"2016-10-30",379430,"2016-10-01"
"2201",1,"Ljósakur",210,"Hæðir",46900000,3,115.6,"2016-10-31",405709,"2016-10-01"
"2204",6,"Klukkurimi",112,"Fjölbýli",31700000,3,89,"2016-10-31",356180,"2016-10-01"
"2205",7,"Sóleyjarimi",112,"Par/Raðhús",66900000,6,208.1,"2016-10-31",321480,"2016-10-01"
"2206",8,"Bræðraborgarstígur",101,"Fjölbýli",29900000,2,57,"2016-10-31",524561,"2016-10-01"
"2208",11,"Lindargata",101,"Fjölbýli",66675000,3,89.9,"2016-10-31",741657,"2016-10-01"
"2209",12,"Snægil",603,"Fjölbýli",36900000,4,131.1,"2016-10-31",281465,"2016-10-01"
"2210",13,"Lindargata",101,"Fjölbýli",65100000,3,89.9,"2016-10-31",724138,"2016-10-01"
"2211",14,"Fífurimi",112,"Fjölbýli",31900000,2,69.1,"2016-10-31",461650,"2016-10-01"
"2214",17,"Rjúpnasalir (opið hús)",203,"Fjölbýli",37900000,3,94.8,"2016-10-31",399789,"2016-10-01"
"2215",19,"Háeyrarvellir",820,"Par/Raðhús",22900000,5,143.6,"2016-10-31",159471,"2016-10-01"
"2216",20,"Þríhyrningur Ii",601,"Einbýli",27000000,7,176.6,"2016-10-31",152888,"2016-10-01"
"2218",22,"Lundur",200,"Fjölbýli",48500000,2,114,"2016-10-31",425439,"2016-10-01"
"2219",23,"Lundur",200,"Fjölbýli",68500000,4,152.7,"2016-10-31",448592,"2016-10-01"
"2220",24,"Vogatunga",270,"Par/Raðhús",37900000,4,160,"2016-10-31",236875,"2016-10-01"
"2221",25,"Lundur",200,"Fjölbýli",125000000,4,179.2,"2016-10-31",697545,"2016-10-01"
"2222",1,"Stakkholt",105,"Fjölbýli",49900000,3,97,"2016-11-01",514433,"2016-11-01"
"2223",2,"Holtsvegur",210,"Fjölbýli",51900000,4,129.3,"2016-11-01",401392,"2016-11-01"
"2224",3,"Holtsvegur",210,"Fjölbýli",45500000,3,111.1,"2016-11-01",409541,"2016-11-01"
"2225",4,"Holtsvegur",201,"Fjölbýli",46500000,3,112.5,"2016-11-01",413333,"2016-11-01"
"2226",5,"Holtsvegur",210,"Fjölbýli",50900000,4,128.2,"2016-11-01",397036,"2016-11-01"
"2227",6,"Holtsvegur ",210,"Fjölbýli",44500000,3,111.1,"2016-11-01",400540,"2016-11-01"
"2228",8,"Tjarnarbraut",220,"Fjölbýli",23900000,2,74.6,"2016-11-01",320375,"2016-11-01"
"2230",11,"Múlasíða ",603,"Fjölbýli",23600000,4,110,"2016-11-01",214545,"2016-11-01"
"2231",12,"Friggjarbrunnur",113,"Fjölbýli",49900000,4,130,"2016-11-01",383846,"2016-11-01"
"2232",13,"Grundarland",108,"Einbýli",128000000,8,255.4,"2016-11-01",501175,"2016-11-01"
"2233",14,"Holtsvegur",210,"Fjölbýli",60400000,4,154.2,"2016-11-01",391699,"2016-11-01"
"2234",15,"Holtsvegur",210,"Fjölbýli",44900000,2,87.5,"2016-11-01",513143,"2016-11-01"
"2235",16,"Holtsvegur",210,"Fjölbýli",61400000,4,154.2,"2016-11-01",398184,"2016-11-01"
"2236",17,"Holtsvegur",210,"Fjölbýli",60900000,4,155.7,"2016-11-01",391137,"2016-11-01"
"2237",18,"Holtsvegur",210,"Fjölbýli",59900000,4,155,"2016-11-01",386452,"2016-11-01"
"2238",19,"Eikarlundur",600,"Einbýli",71500000,6,234.6,"2016-11-01",304774,"2016-11-01"
"2239",20,"Rofabær",110,"Fjölbýli",28900000,3,89.8,"2016-11-01",321826,"2016-11-01"
"2240",21,"Holtsvegur",210,"Fjölbýli",42400000,3,108.5,"2016-11-01",390783,"2016-11-01"
"2241",22,"Holtsvegur ",210,"Fjölbýli",48500000,4,122.1,"2016-11-01",397215,"2016-11-01"
"2242",23,"Holtsvegur",210,"Fjölbýli",47500000,4,122.1,"2016-11-01",389025,"2016-11-01"
"2243",24,"Grandavegur",107,"Fjölbýli",57900000,4,121.2,"2016-11-01",477723,"2016-11-01"
"2244",25,"Lækjartún",600,"Fjölbýli",27900000,3,94.2,"2016-11-01",296178,"2016-11-01"
"2246",2,"Tunguvegur",108,"Par/Raðhús",49500000,5,130.5,"2016-11-02",379310,"2016-11-01"
"2247",3,"Ránargata",101,"Fjölbýli",21900000,2,27.4,"2016-11-02",799270,"2016-11-01"
"2248",4,"Lyngás",210,"Fjölbýli",55900000,5,131.4,"2016-11-02",425419,"2016-11-01"
"2252",8,"Hverfisgata",101,"Fjölbýli",42500000,4,99.4,"2016-11-02",427565,"2016-11-01"
"2253",12,"Víðilundur",600,"Fjölbýli",27500000,2,79.8,"2016-11-02",344612,"2016-11-01"
"2254",13,"Árvegur",800,"Einbýli",57900000,8,261.2,"2016-11-02",221669,"2016-11-01"
"2255",14,"Lækjargata",600,"Hæðir",33200000,4,130,"2016-11-02",255385,"2016-11-01"
"2256",15,"Eiðsvallagata",600,"Fjölbýli",11200000,3,80.3,"2016-11-02",139477,"2016-11-01"
"2257",16,"Lundur",200,"Fjölbýli",86000000,4,159.2,"2016-11-02",540201,"2016-11-01"
"2258",17,"Eyrargata",820,"Fjölbýli",15900000,2,62,"2016-11-02",256452,"2016-11-01"
"2259",19,"Hátún",105,"Hæðir",76800000,7,213.3,"2016-11-02",360056,"2016-11-01"
"2260",20,"Hátún",105,"Fjölbýli",33900000,4,77.5,"2016-11-02",437419,"2016-11-01"
"2261",22,"Unufell",111,"Fjölbýli",27500000,4,97.9,"2016-11-02",280899,"2016-11-01"
"2262",23,"Hjallasel",700,"Einbýli",33900000,4,183.9,"2016-11-02",184339,"2016-11-01"
"2263",24,"Garðatorg",210,"Fjölbýli",53900000,4,100.1,"2016-11-02",538462,"2016-11-01"
"2264",1,"Miðbraut",170,"Hæðir",59900000,5,157.8,"2016-11-03",379594,"2016-11-01"
"2265",2,"Lundarbrekka",200,"Fjölbýli",32800000,3,100.3,"2016-11-03",327019,"2016-11-01"
"2267",4,"Klettatún",600,"Par/Raðhús",45500000,4,139.5,"2016-11-03",326165,"2016-11-01"
"2268",5,"Ljósavík",112,"Fjölbýli",52900000,4,148.3,"2016-11-03",356709,"2016-11-01"
"2269",6,"Sunnuflöt",210,"Einbýli",112500000,7,277.1,"2016-11-03",405991,"2016-11-01"
"2270",8,"Lundur",200,"Fjölbýli",87500000,3,158.2,"2016-11-03",553097,"2016-11-01"
"2271",9,"Lundur",200,"Fjölbýli",79800000,3,143,"2016-11-03",558042,"2016-11-01"
"2272",10,"Lundur",200,"Fjölbýli",59500000,3,121.4,"2016-11-03",490115,"2016-11-01"
"2273",11,"Lundur",200,"Fjölbýli",67000000,3,137.4,"2016-11-03",487627,"2016-11-01"
"2274",12,"Lundur",200,"Fjölbýli",79800000,3,148.8,"2016-11-03",536290,"2016-11-01"
"2275",13,"Lundur",200,"Fjölbýli",63500000,3,122.3,"2016-11-03",519215,"2016-11-01"
"2276",14,"Lundur",200,"Fjölbýli",74000000,3,144,"2016-11-03",513889,"2016-11-01"
"2277",15,"Lundur",200,"Fjölbýli",69500000,3,142.2,"2016-11-03",488748,"2016-11-01"
"2278",16,"Lundur",200,"Fjölbýli",76800000,3,145.6,"2016-11-03",527473,"2016-11-01"
"2279",17,"Lundur",200,"Fjölbýli",78000000,4,151.6,"2016-11-03",514512,"2016-11-01"
"2280",18,"Lundur",200,"Fjölbýli",74800000,3,143.8,"2016-11-03",520167,"2016-11-01"
"2281",19,"Lundur",200,"Fjölbýli",77800000,3,143.9,"2016-11-03",540653,"2016-11-01"
"2282",20,"Lundur",200,"Fjölbýli",78000000,3,131.9,"2016-11-03",591357,"2016-11-01"
"2283",21,"Lundur",200,"Fjölbýli",59800000,3,123,"2016-11-03",486179,"2016-11-01"
"2284",22,"Lundur",200,"Fjölbýli",129000000,4,194.4,"2016-11-03",663580,"2016-11-01"
"2285",23,"Lundur",200,"Fjölbýli",74000000,4,153.2,"2016-11-03",483029,"2016-11-01"
"2286",24,"Lundur",200,"Fjölbýli",76800000,3,148.8,"2016-11-03",516129,"2016-11-01"
"2287",25,"Lundur",200,"Fjölbýli",59500000,3,120.5,"2016-11-03",493776,"2016-11-01"
"2288",1,"Réttarheiði",810,"Par/Raðhús",35000000,4,164.7,"2016-11-04",212508,"2016-11-01"
"2289",2,"Sóltún",800,"Par/Raðhús",33900000,3,119.8,"2016-11-04",282972,"2016-11-01"
"2290",3,"Sogavegur",108,"Fjölbýli",26900000,2,69.9,"2016-11-04",384835,"2016-11-01"
"2291",4,"Dalsgerði",600,"Par/Raðhús",31000000,5,126.2,"2016-11-04",245642,"2016-11-01"
"2292",5,"Sunnugerði Lækkað Verð",730,"Einbýli",37500000,5,197.8,"2016-11-04",189585,"2016-11-01"
"2293",6,"Nönnugata",101,"Fjölbýli",24900000,1,41,"2016-11-04",607317,"2016-11-01"
"2294",7,"Lundur ",200,"Fjölbýli",69800000,3,123.3,"2016-11-04",566099,"2016-11-01"
"2295",8,"Lundur ",200,"Fjölbýli",78000000,3,131.9,"2016-11-04",591357,"2016-11-01"
"2296",9,"Lundur ",200,"Fjölbýli",63500000,3,122.3,"2016-11-04",519215,"2016-11-01"
"2297",10,"Lundur ",200,"Fjölbýli",64500000,3,122.2,"2016-11-04",527823,"2016-11-01"
"2298",11,"Lundur ",200,"Fjölbýli",66800000,3,123.6,"2016-11-04",540453,"2016-11-01"
"2299",12,"Linnetsstígur",220,"Fjölbýli",46900000,4,125.8,"2016-11-04",372814,"2016-11-01"
"2300",13,"Stóriteigur",270,"Par/Raðhús",42900000,4,147.6,"2016-11-04",290650,"2016-11-01"
"2301",15,"Heiðarholt",230,"Fjölbýli",16500000,2,65.2,"2016-11-04",253067,"2016-11-01"
"2302",16,"Hlíðarás",221,"Par/Raðhús",69700000,6,237.5,"2016-11-04",293474,"2016-11-01"
"2303",17,"Fífumói ",260,"Fjölbýli",18500000,3,85.3,"2016-11-04",216882,"2016-11-01"
"2304",18,"Garðabraut",300,"Fjölbýli",24700000,3,103.4,"2016-11-04",238878,"2016-11-01"
"2305",19,"Reykjasíða",603,"Einbýli",53000000,5,180.9,"2016-11-04",292980,"2016-11-01"
"2306",20,"Vatnsstígur",101,"Fjölbýli",74445000,2,118.9,"2016-11-04",626114,"2016-11-01"
"2307",21,"Vatnsstígur",101,"Fjölbýli",58695000,2,107.6,"2016-11-04",545493,"2016-11-01"
"2309",23,"Lundur ",200,"Fjölbýli",64500000,3,126.7,"2016-11-04",509077,"2016-11-01"
"2310",24,"Strandvegur",210,"Fjölbýli",51900000,4,127.4,"2016-11-04",407378,"2016-11-01"
"2311",25,"Boðagrandi",107,"Fjölbýli",51900000,3,111.3,"2016-11-04",466307,"2016-11-01"
"2312",1,"Mánatún",105,"Fjölbýli",52500000,3,120.5,"2016-11-05",435685,"2016-11-01"
"2313",2,"Hæðargarður",108,"Fjölbýli",54900000,4,128.7,"2016-11-05",426573,"2016-11-01"
"2314",3,"Smáratún",230,"Fjölbýli",19900000,3,70.7,"2016-11-05",281471,"2016-11-01"
"2315",4,"Þrastarlundur",210,"Par/Raðhús",69900000,8,234,"2016-11-05",298718,"2016-11-01"
"2317",6,"Mánatún",105,"Fjölbýli",57900000,3,133.6,"2016-11-05",433383,"2016-11-01"
"2319",10,"Hásteinsvegur",900,"Hæðir",23500000,5,143.3,"2016-11-05",163992,"2016-11-01"
"2320",11,"Aflagrandi",107,"Fjölbýli",42900000,3,80.1,"2016-11-05",535581,"2016-11-01"
"2321",12,"Skagabraut",300,"Einbýli",16900000,3,73,"2016-11-05",231507,"2016-11-01"
"2322",13,"Asparskógar",300,"Fjölbýli",41365500,4,126.5,"2016-11-05",327000,"2016-11-01"
"2323",14,"Háholt",220,"Fjölbýli",37900000,4,113.7,"2016-11-05",333333,"2016-11-01"
"2324",17,"Grandavegur - Opið Hús",107,"Fjölbýli",52000000,3,110.6,"2016-11-05",470163,"2016-11-01"
"2325",18,"Grandavegur - Opið Hús",107,"Fjölbýli",52000000,3,110.7,"2016-11-05",469738,"2016-11-01"
"2326",19,"Sörlaskjól",107,"Fjölbýli",32900000,2,70.2,"2016-11-05",468661,"2016-11-01"
"2327",20,"Bólstaðarhlíð",105,"Fjölbýli",27900000,2,54,"2016-11-05",516667,"2016-11-01"
"2328",21,"Lyngmóar",210,"Fjölbýli",30900000,2,97.7,"2016-11-05",316274,"2016-11-01"
"2329",22,"Brekkubyggð",210,"Par/Raðhús",43300000,3,108.7,"2016-11-05",398344,"2016-11-01"
"2330",23,"Teigasel",109,"Fjölbýli",19900000,1,41.2,"2016-11-05",483010,"2016-11-01"
"2331",24,"Sléttuvegur",103,"Fjölbýli",48800000,3,89,"2016-11-05",548315,"2016-11-01"
"2335",3,"Grandavegur - Þaksvalir",107,"Fjölbýli",83700000,4,124.9,"2016-11-06",670136,"2016-11-01"
"2336",4,"Grandavegur",107,"Fjölbýli",52000000,3,110.6,"2016-11-06",470163,"2016-11-01"
"2337",6,"Sléttuvegur",103,"Fjölbýli",51900000,2,128.5,"2016-11-06",403891,"2016-11-01"
"2339",9,"Mánatún",105,"Fjölbýli",82900000,4,182.9,"2016-11-06",453253,"2016-11-01"
"2340",12,"Lundur",200,"Fjölbýli",54800000,3,139.2,"2016-11-06",393678,"2016-11-01"
"2341",13,"Asparskógar",300,"Fjölbýli",32488000,3,99.2,"2016-11-06",327500,"2016-11-01"
"2342",14,"Mánatún ",105,"Fjölbýli",52500000,3,124,"2016-11-06",423387,"2016-11-01"
"2343",15,"Mánatún",105,"Fjölbýli",54700000,3,111.2,"2016-11-06",491906,"2016-11-01"
"2344",16,"Mánatún (opið hús)",105,"Fjölbýli",56500000,3,129.5,"2016-11-06",436293,"2016-11-01"
"2345",18,"Valsheiði",810,"Einbýli",39000000,5,196,"2016-11-06",198980,"2016-11-01"
"2346",19,"Perlukór",203,"Fjölbýli",89000000,7,255,"2016-11-06",349020,"2016-11-01"
"2347",20,"Hringbraut",101,"Fjölbýli",29500000,2,54.2,"2016-11-06",544280,"2016-11-01"
"2348",22,"Lindargata",101,"Fjölbýli",49700000,3,85.1,"2016-11-06",584019,"2016-11-01"
"2349",23,"Mánatún",105,"Fjölbýli",56500000,3,133.5,"2016-11-06",423221,"2016-11-01"
"2352",1,"Friggjarbrunnur",113,"Fjölbýli",57800000,5,154.6,"2016-11-07",373868,"2016-11-01"
"2353",2,"Friggjarbrunnur",113,"Fjölbýli",49900000,4,130,"2016-11-07",383846,"2016-11-01"
"2354",3,"Friggjarbrunnur",113,"Fjölbýli",51800000,4,136.3,"2016-11-07",380044,"2016-11-01"
"2355",4,"Fákahvarf",203,"Einbýli",79900000,8,270.1,"2016-11-07",295816,"2016-11-01"
"2356",5,"Tröllateigur",270,"Fjölbýli",43500000,4,115.6,"2016-11-07",376298,"2016-11-01"
"2357",6,"Markholt",270,"Einbýli",62500000,8,280.1,"2016-11-07",223135,"2016-11-01"
"2358",7,"Básbryggja ",110,"Fjölbýli",84900000,8,334.2,"2016-11-07",254039,"2016-11-01"
"2360",11,"Furugrund",200,"Fjölbýli",32700000,3,77.1,"2016-11-07",424125,"2016-11-01"
"2361",12,"Suðurgata",190,"Hæðir",12400000,4,124.3,"2016-11-07",99759,"2016-11-01"
"2362",14,"Básbryggja ",110,"Fjölbýli",84900000,6,334.2,"2016-11-07",254039,"2016-11-01"
"2363",15,"Markholt",270,"Einbýli",62500000,9,280.1,"2016-11-07",223135,"2016-11-01"
"2365",17,"Tröllateigur",270,"Hæðir",43500000,4,115.6,"2016-11-07",376298,"2016-11-01"
"2366",18,"Fákahvarf",203,"Einbýli",79900000,6,270.1,"2016-11-07",295816,"2016-11-01"
"2367",20,"Aðalgata",625,"Einbýli",15900000,6,109,"2016-11-07",145872,"2016-11-01"
"2368",23,"Básbryggja",110,"Fjölbýli",84900000,7,334.2,"2016-11-07",254039,"2016-11-01"
"2369",24,"Markholt",270,"Einbýli",62500000,7,280.1,"2016-11-07",223135,"2016-11-01"
"2373",3,"Hraunbær",110,"Fjölbýli",24900000,3,72.8,"2016-11-08",342033,"2016-11-01"
"2374",4,"Bleikargróf",108,"Einbýli",44900000,5,107.2,"2016-11-08",418843,"2016-11-01"
"2375",5,"Krummahólar",111,"Fjölbýli",22900000,2,73.4,"2016-11-08",311989,"2016-11-01"
"2376",6,"Langahlíð",105,"Fjölbýli",37900000,4,98.7,"2016-11-08",383992,"2016-11-01"
"2377",7,"Birkigrund",200,"Einbýli",89900000,8,271.3,"2016-11-08",331367,"2016-11-01"
"2378",8,"Þverholt",603,"Einbýli",36900000,6,170.6,"2016-11-08",216295,"2016-11-01"
"2379",9,"Höfðabraut",300,"Hæðir",24900000,4,132,"2016-11-08",188636,"2016-11-01"
"2381",11,"Lyngás",210,"Fjölbýli",46800000,4,107.4,"2016-11-08",435754,"2016-11-01"
"2382",12,"Foldahraun",900,"Fjölbýli",16800000,3,91.2,"2016-11-08",184211,"2016-11-01"
"2383",13,"Kleppsvegur",105,"Fjölbýli",38500000,4,96.7,"2016-11-08",398139,"2016-11-01"
