"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"fermverd"
"3685";"Faxaból";110;"Hesthús";28000000;0;150,2;186418
"3686";"Lóð á góðum stað ";203;"Jörð/Lóð";15800000;0;840;18810
"3687";"Aðalþing";203;"Einbýli";115000000;6;409;281174
"3688";"Arnarklettur ";310;"Fjölbýli";18900000;3;78,2;241688
"3689";"Síðumúli";108;"Atvinnuhús";1000000;0;806,1;1241
"3694";"Melhólar";800;"Par/Raðhús";21950000;4;145;151379
"3697";"Hrafnaklettur";310;"Fjölbýli";12900000;3;81;159259
"3698";"Aðalstræti";400;"Fjölbýli";19900000;7;203;98030
"3699";"Egilsbraut";815;"Fjölbýli";14500000;4;138,6;104618
"3702";"Mánatún";105;"Fjölbýli";86900000;4;174,9;496855
"3705";"Þórdísarbyggð";311;"Jörð/Lóð";2500000;0;100,6;24851
"3706";"Hamragerði";700;"Fjölbýli";17500000;3;96,4;181535
"3709";"Kaldárselsvegur";220;"Hesthús";7900000;0;68,1;116006
"3711";"Hæðagarður";781;"Einbýli";16500000;4;105,7;156102
"3712";"Holtsvegur";210;"Fjölbýli";56000000;4;153,9;363873
"3714";"Holtsvegur";210;"Fjölbýli";54000000;4;153,9;350877
"3715";"Fossalda";850;"Einbýli";26500000;5;182,8;144967
"3717";"Goðahraun";900;"Einbýli";38900000;7;178,3;218172
"3722";"Bugðufljót";270;"Jörð/Lóð";25000000;0;6108;4093
"3723";"Vallargata";230;"Fjölbýli";59500000;2;552;107790
"3724";"Kvíslartunga";270;"Par/Raðhús";47900000;5;242,6;197444
"3725";"Austurvegur";730;"Hæðir";32000000;7;266,9;119895
"3727";"Dvergasteinar";825;"Einbýli";29200000;4;202;144554
"3728";"Fífutunga";400;"Einbýli";27000000;6;171,9;157068
"3729";"Selás";260;"Einbýli";10500000;0;227,5;46154
"3731";"Stillholt";300;"Einbýli";25000000;7;213,7;116986
"3734";"Bæjarhraun";220;"Atvinnuhús";33900000;0;165,6;204710
"3736";"Rósalundur";851;"Einbýli";10000000;7;147;68027
"3738";"Stampar";276;"Jörð/Lóð";800000;0;2901;276
"3739";"Stampar";276;"Jörð/Lóð";800000;0;3072;260
"3740";"Stampar";276;"Jörð/Lóð";800000;0;2007;399
"3741";"Grensásvegur";108;"Atvinnuhús";49500000;0;364,7;135728
"3742";"Ölduslóð ";220;"Einbýli";69000000;8;300;230000
"3764";"Suðurlandsbraut";108;"Atvinnuhús";115000;0;50,5;2277
"3770";"Brúarfljót";270;"Jörð/Lóð";59000000;0;8904,7;6626
"3772";"Hraunprýði";210;"Par/Raðhús";59500000;5;178;334270
"3773";"Jónsbær Fljótshlíð";861;"Sumarhús";27000000;0;61,3;440457
"3787";"Sólbakki";310;"Atvinnuhús";35000;0;51,7;677
"3794";"Skútahraun";220;"Atvinnuhús";69000;0;46;1500
"3795";"Skútahraun";220;"Atvinnuhús";35000;0;23;1522
"3799";"Stampar";276;"Jörð/Lóð";800000;0;1979;404
"3800";"Stampar";276;"Jörð/Lóð";800000;0;3210;249
"3801";"Berjabraut";276;"Jörð/Lóð";800000;0;2467;324
"3802";"Berjabraut";276;"Jörð/Lóð";800000;0;2317;345
"3803";"Helluvað";110;"Fjölbýli";31900000;2;88;362500
"3804";"Bugðufljót";270;"Jörð/Lóð";50500000;0;12499,5;4040
"3805";"Bugðufljót";270;"Jörð/Lóð";16000000;0;4016,5;3984
"3806";"Bugðufljót";270;"Jörð/Lóð";19500000;0;4802,2;4061
"3807";"Bugðufljót";270;"Jörð/Lóð";58500000;0;10810,3;5412
"3808";"Bugðufljót";270;"Jörð/Lóð";64500000;0;15921,7;4051
"3809";"Bugðufljót";270;"Jörð/Lóð";22500000;0;5564,4;4044
"3810";"Bugðufljót";270;"Jörð/Lóð";32500000;0;6009,3;5408
"3811";"Bugðufljót";270;"Jörð/Lóð";50500000;0;9327;5414
"3812";"Bugðufljót";270;"Jörð/Lóð";22500000;0;4141,4;5433
"3813";"Brúarfljót";270;"Jörð/Lóð";55000000;0;8145,3;6752
"3814";"Brúarfljót";270;"Jörð/Lóð";33000000;0;6085,5;5423
"3816";"Brúarfljót";270;"Jörð/Lóð";43500000;0;6481,8;6711
"3817";"Brúarfljót";270;"Jörð/Lóð";34500000;0;6397;5393
"3818";"Brúarfljót";270;"Jörð/Lóð";31000000;0;5719,2;5420
"3819";"Brúarfljót";270;"Jörð/Lóð";52000000;0;7745,3;6714
"3820";"Brúarfljót";270;"Jörð/Lóð";25000000;0;4567;5474
"3821";"Holtsvegur ";210;"Fjölbýli";59900000;4;168,2;356124
"3822";"Kleifarás";110;"Einbýli";89900000;7;359,8;249861
"3826";"Faxabraut";230;"Fjölbýli";18500000;4;74,2;249326
"3827";"Flúðasel";109;"Par/Raðhús";40900000;5;141,5;289046
"3828";"Miðgarðar";610;"Einbýli";16900000;4;95,5;176963
"3829";"Ármúli";108;"Fjölbýli";39500000;3;143,5;275261
"3830";"Merkihvoll";851;"Sumarhús";25900000;4;49,8;520080
"3832";"Danmörk, Mön / Hjelmvej";1000;"Einbýli";45500000;7;357;127451
"3833";"Þrúðvangur";850;"Atvinnuhús";33900000;0;212,2;159755
"3835";"Granaskjól";600;"Hesthús";18700000;0;128;146094
"3836";"Ísleifsbúð";815;"Par/Raðhús";57500000;20;1065,5;53965
"3839";"Ísleifsbúð ";815;"Par/Raðhús";57500000;0;1055;54502
"3840";"Kaupvangsstræti";600;"Atvinnuhús";21400000;1;94,2;227176
"3841";"Fákafen";108;"Atvinnuhús";370000;0;409;905
"3842";"Skútuvogur";104;"Atvinnuhús";38500000;0;177,7;216657
"3845";"Norðurgata";801;"Jörð/Lóð";2900000;0;9627;301
"3846";"Norðurgata";801;"Jörð/Lóð";3900000;0;18730;208
"3848";"Hóll";415;"Einbýli";17900000;5;166,2;107702
"3849";"Hamragerði";700;"Fjölbýli";17500000;3;91,9;190424
"3850";"Dvergasteinar";825;"Einbýli";29200000;0;202;144554
"3851";"Tjarnholtsmýri";801;"Sumarhús";8900000;2;104084;86
"3852";"Völusteinsstræti";415;"Einbýli";14500000;6;156,4;92711
"3853";"Eyrargata";820;"Fjölbýli";12700000;3;93,8;135394
"3854";"Skólavegur ";900;"Einbýli";24900000;4;155,6;160026
"3857";"Galtarlækur";301;"Einbýli";25900000;3;123,5;209717
"3859";"Garðavegur";230;"Einbýli";36900000;6;260,4;141705
"3860";"Steinavellir ";570;"Jörð/Lóð";19000000;0;670000;28
"3861";"Sveighús";112;"Einbýli";84900000;8;223,7;379526
"3862";"Blesabakki";270;"Hesthús";10500000;0;70,4;149148
"3863";"Seiðakvísl";110;"Einbýli";75000000;8;302,8;247688
"3868";"Björk";801;"Jörð/Lóð";80000000;0;493,7;162042
"3870";"Smáragata";900;"Einbýli";25900000;5;198,3;130610
"3871";"Kiðjaberg lóð";801;"Jörð/Lóð";6000000;0;10000;600
"3872";"Skólavegur";750;"Atvinnuhús";22000000;6;416,8;52783
"3873";"Garðbraut ";250;"Einbýli";18500000;4;179,8;102892
"3874";"Tjarnabraut";260;"Atvinnuhús";8000000;0;84,5;94675
"3875";"Álfabakki";109;"Atvinnuhús";83000000;3;373,8;222044
"3876";"Gaulverjabæjarskóli";801;"Einbýli";55000000;10;421,4;130517
"3882";"Hallkelshólar lóð";801;"Sumarhús";17500000;4;70;250000
"3883";"Lyngbakki";740;"Fjölbýli";16500000;4;103,2;159884
"3884";"Vallartröð";800;"Hesthús";23000000;0;240;95833
"3897";"Fákafen";108;"Atvinnuhús";370000;0;390,3;948
"3944";"Skólagata";400;"Par/Raðhús";25600000;7;265,6;96386
"3946";"Gata sólarinnar ";600;"Sumarhús";37800000;4;108;350000
"3947";"Dynskógar";810;"Einbýli";46900000;5;286,6;163643
"3949";"Öldubyggð ";801;"Jörð/Lóð";1800000;0;7078;254
"3951";"Þrastahólar";801;"Jörð/Lóð";1500000;0;5133;292
"3952";"Þrastahólar";801;"Jörð/Lóð";1700000;0;8947;190
"3953";"Þrastahólar";801;"Jörð/Lóð";1700000;0;7804;218
"3954";"Þrastahólar";801;"Jörð/Lóð";2100000;0;7869;267
"3955";"Laxalækur";800;"Jörð/Lóð";4500000;0;780;5769
"3956";"Laxalækur";800;"Jörð/Lóð";4500000;0;784;5740
"3957";"Starmói";800;"Jörð/Lóð";5200000;0;646;8050
"3958";"Miðbraut";690;"Einbýli";20000000;5;180,1;111049
"3959";"Hraunhella - Endalóð";800;"Jörð/Lóð";5000000;0;1205;4149
"3960";"Hraunhella";800;"Jörð/Lóð";4800000;0;1184;4054
"3961";"Hraunhella";800;"Jörð/Lóð";4200000;0;974;4312
"3962";"Hraunhella";800;"Jörð/Lóð";4200000;0;948;4430
"3963";"Hraunhella";800;"Jörð/Lóð";4200000;0;978;4294
"3964";"Hraunhella";800;"Jörð/Lóð";4200000;0;941;4463
"3965";"Hraunhella";800;"Jörð/Lóð";4200000;0;1004;4183
"3966";"Vallarland";800;"Jörð/Lóð";5900000;0;1002;5888
"3976";"Hraunhella";800;"Jörð/Lóð";4200000;0;950;4421
"3981";"Móland";800;"Jörð/Lóð";7500000;0;1294,4;5794
"3982";"Móland";800;"Jörð/Lóð";7500000;0;1268;5915
"3983";"Goðahraun";900;"Einbýli";38900000;7;208,2;186840
"3984";"Bæjartröð";800;"Hesthús";11900000;0;125;95200
"3988";"Hraunhvammur  ";220;"Fjölbýli";22900000;3;88,7;258174
"3991";"Hraunhvammur";220;"Fjölbýli";22900000;3;88,7;258174
"3992";"Heiðarbraut";300;"Fjölbýli";21627500;2;71,5;302483
"3993";"Heiðarbraut";300;"Fjölbýli";20572500;2;68,5;300328
"3994";"Sörlaskeið";220;"Hesthús";18900000;0;99,4;190141
"3995";"Móland ";800;"Par/Raðhús";7500000;0;1294,4;5794
"3997";"Móland";800;"Jörð/Lóð";7500000;0;1,27;5905512
"3999";"Þórustígur";260;"Einbýli";44000000;9;243,3;180847
"4000";"Lyngás";210;"Atvinnuhús";220000000;0;1335;164794
"4001";"Heimsendi";203;"Hesthús";22000000;0;102,2;215264
"4002";"Heimsendi";203;"Hesthús";10500000;0;48,1;218295
"4003";"Skipalón";220;"Fjölbýlishús";23500000;2;70;335714
"4005";"Gilbakki";356;"Einbýli";31900000;4;172,8;184606
"4006";"Vogatunga ";270;"Jörð/Lóð";22000000;0;1644,7;13376
"4007";"Vogatunga";270;"Jörð/Lóð";22000000;0;1,64;13414634
"4008";"Bjarkasel";700;"Einbýli";17000000;6;214;79439
"4009";"Þórustígur";260;"Einbýli";43900000;0;335,3;130928
"4010";"Þórustígur";260;"Fjölbýli";35900000;0;222,2;161566
"4011";"Vesturgata ";101;"Fjölbýli";39700000;3;78,7;504447
"4012";"Viðarhöfði";110;"Atvinnuhús";65000000;0;478,2;135926
"4013";"Eyktarhæð";210;"Einbýli";71900000;6;263,5;272865
"4014";"Laugavegur";101;"Fjölbýli";63500000;4;142,2;446554
"4015";"Lyngbraut";250;"Einbýli";25500000;6;188,8;135064
"4016";"Bjarmaland";245;"Einbýli";32500000;7;194;167526
"4018";"Víkurholt";801;"Jörð/Lóð";2500000;0;5600;446
"4019";"Ás_1";851;"Jörð/Lóð";75000000;0;1593,3;47072
"4021";"Leynisbrún";240;"Einbýli";44900000;10;338,7;132566
"4022";"Borgartún(leiga)";105;"Atvinnuhús";50000;1;10;5000
"4023";"Sólhlíð";900;"Einbýli";22000000;0;129,1;170411
"4024";"Austurvegur";800;"Jörð/Lóð";19900000;6;1502,1;13248
"4025";"Austurvegur";800;"Fjölbýli";11900000;2;53,4;222846
"4026";"Austurvegur";800;"Fjölbýli";18400000;3;98,3;187182
"4027";"Drafnarbraut ";620;"Einbýli";29700000;6;181,2;163907
"4030";"Holtsvegur";210;"Fjölbýli";59500000;4;168,2;353746
"4032";"Vorsabær";801;"Hesthús";25900000;0;107,2;241604
"4033";"Heiðarvegur";900;"Par/Raðhús";32000000;6;212;150943
"4051";"Bugðufljót";270;"Jörð/Lóð";52000000;0;9614,2;5409
"4053";"Miðtún";800;"Par/Raðhús";31900000;5;140,7;226724
"4054";"Sognstún ";620;"Einbýli";25900000;6;144,8;178867
"4055";"Funafold";112;"Einbýli";68000000;4;191,5;355091
"4057";"Fjallaland";851;"Jörð/Lóð";3200000;0;10000;320
"4059";"Smiðjuvegur";200;"Atvinnuhús";53000000;6;283,4;187015
"4060";"Skólastígur";340;"Par/Raðhús";15900000;2;44,7;355705
"4063";"Eyrarholt";220;"Fjölbýli";32900000;1;118,4;277872
"4075";"Mánagrund";230;"Hesthús";13900000;0;153,4;90613
"4076";"Klettagljúfur";810;"Einbýli";34900000;7;301,3;115831
"4077";"Álfhella";221;"Jörð/Lóð";30000000;0;5692;5271
"4081";"Víðigrund";200;"Einbýli";89900000;8;320,7;280324
"4084";"Birkiás";311;"Jörð/Lóð";900000;0;5883;153
"4085";"Birkiás";311;"Jörð/Lóð";900000;0;4638;194
"4086";"Gvendarás";311;"Jörð/Lóð";1100000;0;4770;231
"4087";"Stapaás";311;"Jörð/Lóð";1100000;0;3823;288
"4088";"Birkiás";311;"Jörð/Lóð";1000000;0;3726;268
"4089";"Stapaás";311;"Jörð/Lóð";1100000;0;3588;307
"4091";"Birkiás";311;"Jörð/Lóð";1000000;0;3887;257
"4092";"Langiás";311;"Jörð/Lóð";1100000;0;6275;175
"4094";"Álfhella";221;"Jörð/Lóð";30000000;0;5692,2;5270
"4095";"Garðatorg";210;"Fjölbýli";62400000;4;129,6;481481
"4096";"Kirkjuvegur";620;"Par/Raðhús";36000000;4;149,6;240642
"4098";"Mánagata";730;"Einbýli";19800000;4;130,2;152074
"4099";"Garðatorg";210;"Fjölbýli";60800000;4;126,5;480632
"4100";"Lindargata";101;"Fjölbýli";49700000;3;85,1;584019
"4103";"Norðurbakki";220;"Fjölbýli";47000000;3;127,2;369497
"4104";"Norðurbakki";220;"Fjölbýli";43200000;3;128,9;335144
"4105";"Norðurbakki";220;"Fjölbýli";47500000;3;132,1;359576
"4106";"Norðurbakki";220;"Fjölbýli";45500000;3;129,8;350539
"4107";"Norðurbakki";220;"Fjölbýli";48950000;3;150,4;325465
"4108";"Norðurbakki";220;"Fjölbýli";47100000;3;126,8;371451
"4109";"Norðurbakki";220;"Fjölbýli";47200000;3;145;325517
"4110";"Norðurbakki";220;"Fjölbýli";46800000;3;129,8;360555
"4111";"Norðurbakki";220;"Fjölbýli";48900000;4;142,3;343640
"4112";"Norðurbakki";220;"Fjölbýli";49600000;4;144,1;344205
"4113";"Norðurbakki";220;"Fjölbýli";48300000;4;146,7;329243
"4115";"Norðurbakki";220;"Fjölbýli";48200000;3;139,2;346264
"4116";"Reykjasíða";603;"Einbýli";56000000;6;318;176101
"4117";"Norðurbakki";220;"Fjölbýli";46200000;3;138,1;334540
"4118";"Norðurbakki";220;"Fjölbýli";63000000;3;160;393750
"4119";"Norðurbakki";220;"Fjölbýli";47200000;0;135;349630
"4120";"Holtsvegur";210;"Fjölbýli";69500000;4;165,7;419433
"4121";"Holtsvegur ";210;"Fjölbýli";74900000;4;165,7;452022
"4122";"Brattagata ";310;"Fjölbýli";7900000;2;51,5;153398
"4126";"Borgartún(leiga)";105;"Atvinnuhús";70000;1;15;4667
"4129";"Ásatún";600;"Fjölbýli";28600000;3;90,9;314631
"4130";"Ásatún";600;"Fjölbýli";25500000;3;77,8;327763
"4131";"Ásatún";600;"Fjölbýli";25300000;3;77,8;325193
"4132";"Ásatún";600;"Fjölbýli";30000000;3;101,2;296443
"4133";"Ásatún";600;"Fjölbýli";28000000;3;90,5;309392
"4134";"Ásatún";600;"Fjölbýli";27300000;3;85,2;320423
"4135";"Ásatún";600;"Fjölbýli";24900000;3;77,9;319641
"4136";"Ásatún";600;"Fjölbýli";28000000;3;85;329412
"4137";"Ásatún";600;"Fjölbýli";24500000;3;77,4;316537
"4143";"Flúðabakki";540;"Fjölbýli";10500000;2;65,8;159574
"4144";"Víðilundur";600;"Fjölbýli";26900000;3;89,3;301232
"4146";"Helgafellsbraut";900;"Einbýli";36500000;5;236,1;154596
"4147";"Fossheiði";800;"Fjölbýli";20500000;4;108,7;188592
"4152";"Stöðulsholt ";310;"Par/Raðhús";28500000;5;161,2;176799
"4158";"Egilsbraut";740;"Atvinnuhús";36000000;2;432;83333
"4161";"Miðvangur";700;"Fjölbýli";29300000;3;113,8;257469
"4163";"Torfastaðir";802;"Jörð/Lóð";160000000;5;1914,7;83564
"4164";"Heiðarbraut";300;"Einbýli";45000000;7;262,1;171690
"4165";"Viðvik";360;"Einbýli";10000000;4;259,1;38595
"4167";"Miðholt";603;"Einbýli";39500000;7;184;214674
"4170";"Nesbraut ";730;"Atvinnuhús";35800000;0;432;82870
"4172";"Holtsvegur";210;"Fjölbýli";75000000;4;180;416667
"4173";"Bjarmaland Lækkað Verð";245;"Einbýli";32500000;7;194;167526
"4176";"Skógarholt";801;"Sumarhús";18000000;0;69,2;260116
"4179";"Brautarhóll lóð";801;"Atvinnuhús";250000000;0;2062;121242
"4180";"Holtsvegur ";210;"Fjölbýli";64900000;4;168,2;385850
"4181";"Fróðaþing";203;"Einbýli";96000000;5;246,3;389769
"4184";"Tjarnarlaut";801;"Sumarhús";44900000;5;164,3;273281
"4185";"Árnastígur";240;"Einbýli";53900000;5;272,8;197581
"4186";"Klausturhólar";801;"Sumarhús";15700000;2;77,1;203632
"4187";"Bjarkarbraut";620;"Einbýli";30800000;8;223,1;138055
"4189";"Holtsvegur";210;"Fjölbýli";59900000;5;165,6;361715
"4193";"Holtsvegur";210;"Fjölbýli";42300000;3;103,1;410281
"4195";"Hraungata ";210;"Fjölbýli";52900000;4;143,2;369413
"4196";"Bíldshöfði";110;"Atvinnuhús";60000000;17;357,7;167738
"4199";"Silfurgata";340;"Einbýli";29500000;6;160;184375
"4200";"Hásteinsvegur";900;"Fjölbýli";16900000;5;81,5;207362
"4202";"Reykjamelur";270;"Jörð/Lóð";9000000;0;989,3;9097
"4211";"Holtagata";420;"Einbýli";18000000;4;172,2;104530
"4213";"Böggvisbraut";620;"Einbýli";34000000;7;216,4;157116
"4214";"Hlíðarás";221;"Einbýli";86900000;7;289,6;300069
"4218";"Grensásvegur";108;"Fyrirt.";9000000;0;130,9;68755
"4219";"Syðri-reykir Lóð";801;"Sumarhús";50000000;11;128,7;388500
"4220";"Lundarbrekka";200;"Fjölbýli";34500000;5;101,4;340237
"4222";"Helluhraun";220;"Atvinnuhús";60000000;0;120;500000
"4224";"Hvaleyrarbraut  ";220;"Atvinnuhús";101000000;0;612;165033
"4228";"Aðalgata";260;"Einbýli";120000000;18;406,9;294913
"4229";"Hvammsskógur";311;"Sumarhús";31900000;4;121,8;261905
"4231";"Túngata";710;"Einbýli";12900000;4;131,5;98099
"4232";"Hafnargata";230;"Hæðir";20000000;4;110;181818
"4233";"Mýrarholt";311;"Sumarhús";6500000;3;32,8;198171
"4234";"Skyggnisbraut";801;"Sumarhús";8500000;2;48,3;175983
"4235";"Mýrarholt";311;"Sumarhús";5500000;3;32,8;167683
"4236";"Túngata";730;"Einbýli";22800000;4;164,2;138855
"4237";"Brattagata";900;"Fjölbýli";24900000;9;234,2;106319
"4238";"Lækjarbrekka ";801;"Sumarhús";26500000;3;77,7;341055
"4239";"Bjarkarbraut";620;"Par/Raðhús";19900000;5;136,6;145681
"4240";"Jónsbær";861;"Sumarhús";27000000;3;86,6;311778
"4241";"Lyngborgir";801;"Sumarhús";49500000;6;153,4;322686
"4242";"Vættaborgir";112;"Fjölbýli";30900000;3;82;376829
"4243";"Oddsholt";801;"Sumarhús";11900000;3;71,5;166434
"4245";"Norðurnes";276;"Sumarhús";11900000;3;38,6;308290
"4251";"Miðholt";801;"Fjölbýli";21500000;3;89,3;240761
"4255";"Austurvegur";800;"Atvinnuhús";19900000;3;90,2;220621
"4257";"Hjallatangi";340;"Einbýli";58000000;5;207;280193
"4260";"Nesbraut";730;"Atvinnuhús";35800000;2;639;56025
"4261";"Sólheimar";301;"Sumarhús";14900000;3;63,2;235759
"4262";"Skólastígur";415;"Fjölbýli";7300000;4;103,4;70600
"4264";"Lyngás, Lögbýli, Borgarbyggð";311;"Einbýli";36000000;4;158,3;227416
"4266";"Túngata";420;"Sumarhús";4900000;4;105,4;46490
"4267";"Þverholtsvegur";801;"Jörð/Lóð";2600000;0;9999,99;260
"4269";"Þrastahólar - Sumarbústaðaland";801;"Jörð/Lóð";3300000;0;8423;392
"4273";"Túngata";820;"Einbýli";23500000;6;175,5;133903
"4274";"Suðurhof";845;"Jörð/Lóð";4400000;4;156,4;28133
"4276";"Sumarhús Eyjólfsstaðarskógi";701;"Sumarhús";17000000;5;111,1;153015
"4277";"Sörlagrund";230;"Hesthús";7800000;0;85,5;91228
"4279";"Ólafsvellir";825;"Einbýli";40900000;6;264,7;154515
"4280";"Nónhólar - Sumarbústaðaland";801;"Jörð/Lóð";3300000;0;7863;420
"4281";"Mýrarvegur";311;"Sumarhús";11900000;3;43,1;276102
"4282";"Lækjarbakki";800;"Einbýli";49900000;4;242,2;206028
"4284";"Lækjarbakki - Sumarbústaðaland";801;"Jörð/Lóð";3300000;0;6909;478
"4285";"Lyngholt";801;"Jörð/Lóð";2900000;3;118,5;24473
"4286";"Lyngholt";801;"Jörð/Lóð";2600000;0;6900;377
"4287";"Laxalækur";800;"Jörð/Lóð";9900000;6;219,7;45061
"4288";"Laufskálar";850;"Einbýli";28400000;6;200,8;141434
"4291";"Kjóabraut";845;"Sumarhús";32400000;3;124,8;259615
"4292";"Kílhraunsvegur";801;"Jörð/Lóð";1890000;0;5600;338
"4294";"Íragerði";825;"Par/Raðhús";17900000;4;107;167290
"4298";"Hjallabraut";815;"Par/Raðhús";15900000;0;107,7;147632
"4300";"Hafnarskeið";815;"Atvinnuhús";8490000;0;99,5;85327
"4301";"Gagnheiði";800;"Atvinnuhús";24000000;0;196,2;122324
"4302";"Háheiði";800;"Atvinnuhús";33900000;5;286;118531
"4303";"Gagnheiði";800;"Atvinnuhús";21000000;3;219,3;95759
"4304";"Eyrargata";820;"Einbýli";22900000;6;187,9;121873
"4305";"Efri-úlfsstaðir";861;"Jörð/Lóð";69000000;4;149,2;462466
"4307";"Byggðarhorn land";801;"Einbýli";35000000;5;218,6;160110
"4308";"Bústjórabyggð";801;"Jörð/Lóð";2700000;0;7500;360
"4309";"Bleikjulækur";800;"Jörð/Lóð";4900000;8;310,5;15781
"4311";"Álmholt";270;"Einbýli";53900000;6;188,1;286550
"4312";"Klausturhólar lóð";801;"Sumarhús";9000000;0;31,2;288462
"4313";"Kirkjubraut";300;"Atvinnuhús";249000000;28;1651,8;150745
"4314";"Lækjargata";580;"Atvinnuhús";12500000;0;100,8;124008
"4316";"B-tröð";110;"Hesthús";9000000;0;50,9;176817
"4317";"Guðnýjarbraut";260;"Einbýli";40000000;5;240,7;166182
"4320";"Norðurtún";700;"Par/Raðhús";28900000;4;128,2;225429
"4321";"Langholt";801;"Sumarhús";29500000;3;105,6;279356
"4322";"Dalbraut";465;"Einbýli";15900000;4;149,8;106142
"4327";"Þokkabakki";270;"Hesthús";9000000;0;61,19;147083
"4329";"Sólvellir";760;"Einbýli";11800000;5;107,5;109767
"4330";"Skuggabakki";270;"Hesthús";10900000;0;64,8;168210
"4331";"Hólagata";900;"Einbýli";34000000;5;233,2;145798
"4332";"Vatnsstígur";101;"Fjölbýli";52500000;2;102,8;510700
"4340";"Lundur";200;"Fjölbýli";49000000;3;107,3;456664
"4341";"Lundur";200;"Fjölbýli";79000000;5;114,7;688753
"4343";"Lundur";200;"Fjölbýli";77000000;3;186,9;411985
"4344";"Lundur";200;"Fjölbýli";69000000;4;160;431250
"4347";"Lundur";200;"Fjölbýli";72000000;4;156,7;459477
"4348";"Lundur";200;"Fjölbýli";57000000;3;124,2;458937
"4349";"Strandgata";625;"Einbýlishús";13500000;5;171;78947
"4350";"Nesvegur";340;"Atvinnuhús";69000000;0;632,8;109039
"4352";"Sumarbústaður Eyrarflöt";801;"Sumarhús";13900000;3;54,4;255515
"4353";"Skógarvegur";108;"Fjölbýli";61800000;0;119,1;518892
"4354";"Mýrar";450;"Einbýli";22900000;6;262,9;87105
"4355";"Hæðarskarð";276;"Jörð/Lóð";6200000;0;20,9;296651
"4356";"Skólagata";400;"Par/Raðhús";25600000;4;265,6;96386
"4357";"Kirkjuvegur";900;"Fjölbýli";18700000;3;84,2;222090
"4358";"Skógarás";221;"Jörð/Lóð";15000000;7;354,6;42301
"4359";"Sumarhús Ofanleitisvegur Lóð";900;"Sumarhús";17900000;3;46;389130
"4371";"Lindargata";101;"Fjölbýli";48800000;3;84,3;578885
"4374";"Efsti-dalur Lóð";840;"Sumarhús";16500000;4;57,6;286458
"4376";"Hólaland";116;"Jörð/Lóð";22000000;0;50000;440
"4378";"Sumarhús Jötnagarðsás ";311;"Sumarhús";14900000;3;54,2;274908
"4379";"Hornraðhús Í Góðum Kjarna Í Los Bal";1000;"Par/Raðhús";10400000;3;48;216667
"4380";"Friggjarbrunnur";113;"Fjölbýli";74000000;7;200;370000
"4381";"Grófin";230;"Atvinnuhús";16000000;2;137,8;116110
"4383";"Hólavegur";620;"Einbýli";22800000;8;218;104587
"4387";"Karlsrauðatorg";620;"Fjölbýli";10200000;3;80,8;126238
"4388";"Þúfa";276;"Jörð/Lóð";1500000;3;63,6;23585
"4390";"Sumarhús Indriðastaðir";311;"Sumarhús";15000000;0;38,1;393701
"4391";"Kiðjaberg";801;"Sumarhús";37000000;5;127;291339
"4392";"Ármúli";108;"Atvinnuhús";45000;0;18;2500
"4393";"C-tröð";110;"Hesthús";8200000;0;285;28772
"4394";"Vatnsstígur";101;"Fjölbýli";95000000;3;135,6;700590
"4395";"Langeyrarvegur";420;"Atvinnuhús";35000000;0;540;64815
"4396";"Hesthús Faxaból";110;"Hesthús";18900000;0;97,3;194245
"4397";"Aðalgata";340;"Einbýli";35000000;8;229;152838
"4399";"Lækjamót";245;"Einbýli";39500000;6;269,8;146405
"4400";"Eyravegur";800;"Atvinnuhús";13900000;0;80,2;173317
"4401";"Vagnhöfði";110;"Atvinnuhús";87000000;0;544;159926
"4403";"Víðihlíð";105;"Einbýli";109000000;9;428,9;254138
"4404";"Víkurmói";800;"Jörð/Lóð";25000000;0;2686,6;9305
"4405";"Víkurmói";800;"Jörð/Lóð";25000000;0;2838,4;8808
"4406";"Víkurmói";800;"Jörð/Lóð";25000000;0;2850,6;8770
"4408";"Mánagata";400;"Hæðir";8000000;5;116;68966
"4409";"Tungusíða";603;"Fjölbýli";59000000;10;294;200680
"4410";"Horn þakíbúð með útsýni yfir sjóinn";1000;"Fjölbýli";17900000;3;78;229487
"4412";"Íbúð Í Hjarta Cabo Roig Með Gestaíb";1000;"Par/Raðhús";23400000;4;87;268966
"4413";"Múlavegur";710;"Einbýli";15500000;5;120;129167
"4414";"Spánn - Villa Korum";1000;"Einbýli";49500000;4;106;466981
"4416";"Garðavellir ";301;"Jörð/Lóð";4000000;0;521;7678
"4417";"Garðavellir ";301;"Jörð/Lóð";4000000;0;520;7692
"4419";"Garðavellir";301;"Jörð/Lóð";4500000;0;584;7705
"4420";"Garðavellir ";301;"Jörð/Lóð";3900000;0;520;7500
"4424";"Suðurgata";580;"Einbýli";15000000;4;55,7;269300
"4425";"Leynisbrún";240;"Einbýli";48900000;8;261,6;186927
"4427";"Selholtsvegur ";801;"Jörð/Lóð";3200000;0;4442;720
"4438";"Fjólugata";900;"Fjölbýli";17500000;3;170,5;102639
"4439";"Búðavegur";750;"Einbýli";10900000;8;267,3;40778
"4442";"Garðastræti";101;"hæð";270000;4;125;2160
"4443";"Blesabakki";270;"Hesthús";16900000;0;69,5;243165
"4447";"Hálönd";600;"Sumarhús";36935000;0;108,6;340101
